code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.ACN,Accenture,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,203563,False,N/A,False,,US_NYSE
US.ACNB,ACNB Corp.,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,208398,False,N/A,False,,US_NASDAQ
US.ACNE,ALICE CONS MINES INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513127,False,N/A,False,,US_PINK
US.ACNT,Ascent Industries,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,82523501852873,False,N/A,False,,US_NASDAQ
US.ACOG,Alpha Cognition,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86062554922950,False,N/A,False,,US_NASDAQ
US.ACON,Aclarion,1,STOCK,N/A,,N/A,,N/A,N/A,2022-04-22,82046760482385,False,N/A,False,,US_NASDAQ
US.ACOPY,THE A2 MILK COMPANY LTD UNSPON ADS EACH REP 1 ORD SHS,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513182,False,N/A,False,,US_PINK
US.ACP.PRA,ABRDN INCOME CREDIT STRATEGIES FUND 5.250% CUM PERPETUAL PFD STOCK SER A,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,83704617860958,False,N/A,False,,US_NYSE
US.ACPS,AC PARTNERS INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187273722,False,N/A,False,,US_PINK
US.ACQC,RELATIVITY ACQUISITION CORP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,88059714721669,False,N/A,False,,US_PINK
US.ACR.PRC,ACRES COMMERCIAL REALTY CORP 8.625% CUM RED FXD TO FLOATING PRF SER C,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258984,False,N/A,False,,US_NYSE
US.ACR.PRD,ACRES COMMERCIAL REALTY CORP 7.875% CUM RED PREF SER D,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84572201258985,False,N/A,False,,US_NYSE
US.ACRG,AMERICAN CLEAN RESOURCES GROUP,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,84366042827633,False,N/A,False,,US_PINK
US.ACRL,ATACAMA RESOURCES INTERNATIONAL INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,85096187270339,False,N/A,False,,US_PINK
US.ACRS,Aclaris Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,2015-10-07,211386,False,N/A,False,,US_NASDAQ
US.ACRV,Acrivon Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,2022-11-15,82888574073542,False,N/A,False,,US_NASDAQ
US.ACSAY,ACS ACTIVIDADES DE CONSTRUCCION Y UNSP ADR EACH REPR 0.2 ORD,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,80466212513113,False,N/A,False,,US_PINK
US.ACT,Enact Holdings,1,STOCK,N/A,,N/A,,N/A,N/A,2021-09-16,80543521904773,False,N/A,False,,US_NASDAQ
US.ACTG,Acacia Research,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,202514,False,N/A,False,,US_NASDAQ
US.ACTU,Actuate Therapeutics,1,STOCK,N/A,,N/A,,N/A,N/A,2024-08-13,85435489656629,False,N/A,False,,US_NASDAQ
US.ACTX,ADVANCED CONTAINER TECHNOLOGIES INC,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,86036785084425,False,N/A,False,,US_PINK
US.ACU,Acme United,1,STOCK,N/A,,N/A,,N/A,N/A,1970-01-01,208796,False,N/A,False,,US_AMEX
